Timestamp,Event_Type,Seq_No,Packet_Size_Byte,Retransmit_Count,Is_Success
1780854229.491216,SEND,1,49,0,1
1780854229.502315,ACK_RCVD,1,0,0,1
1780854229.502728,SEND,2,1061,0,1
1780854229.51388,ACK_RCVD,2,0,0,1
1780854229.514487,SEND,3,1061,0,1
1780854229.525954,ACK_RCVD,3,0,0,1
1780854229.52651,SEND,4,1061,0,1
1780854229.5391428,ACK_RCVD,4,0,0,1
1780854229.539704,SEND,5,1061,0,1
1780854229.5510988,ACK_RCVD,5,0,0,1
1780854229.551614,SEND,6,1061,0,1
1780854229.56307,ACK_RCVD,6,0,0,1
1780854229.563671,SEND,7,1061,0,1
1780854229.5750642,ACK_RCVD,7,0,0,1
1780854229.575637,SEND,8,1061,0,1
1780854229.587254,ACK_RCVD,8,0,0,1
1780854229.587838,SEND,9,1061,0,1
1780854229.5992908,ACK_RCVD,9,0,0,1
1780854229.599883,SEND,10,1062,0,1
1780854229.6113238,ACK_RCVD,10,0,0,1
1780854229.611903,SEND,11,1062,0,1
1780854229.623303,ACK_RCVD,11,0,0,1
1780854229.623876,SEND,12,1062,0,1
1780854229.635312,ACK_RCVD,12,0,0,1
1780854229.6358778,SEND,13,1062,0,1
1780854229.6473238,ACK_RCVD,13,0,0,1
1780854229.647891,SEND,14,1062,0,1
1780854229.659335,ACK_RCVD,14,0,0,1
1780854229.659908,SEND,15,1062,0,1
1780854229.671343,ACK_RCVD,15,0,0,1
1780854229.671935,SEND,16,1062,0,1
1780854229.683564,ACK_RCVD,16,0,0,1
1780854229.6841369,SEND,17,1062,0,1
1780854229.695765,ACK_RCVD,17,0,0,1
1780854229.696345,SEND,18,1062,0,1
1780854229.7077749,ACK_RCVD,18,0,0,1
1780854229.708351,SEND,19,1062,0,1
1780854229.719806,ACK_RCVD,19,0,0,1
1780854229.720376,SEND,20,1062,0,1
1780854229.731769,ACK_RCVD,20,0,0,1
1780854229.732357,SEND,21,1062,0,1
1780854229.743755,ACK_RCVD,21,0,0,1
1780854229.744342,SEND,22,1062,0,1
1780854229.757013,ACK_RCVD,22,0,0,1
1780854229.757588,SEND,23,1062,0,1
1780854229.7692428,ACK_RCVD,23,0,0,1
1780854229.769824,SEND,24,1062,0,1
1780854229.7812212,ACK_RCVD,24,0,0,1
1780854229.7817888,SEND,25,1062,0,1
1780854229.794511,ACK_RCVD,25,0,0,1
1780854229.795091,SEND,26,1062,0,1
1780854229.806217,ACK_RCVD,26,0,0,1
1780854229.806656,SEND,27,1062,0,1
1780854229.8180962,ACK_RCVD,27,0,0,1
1780854229.818746,SEND,28,1062,0,1
1780854229.830281,ACK_RCVD,28,0,0,1
1780854229.8308458,SEND,29,1062,0,1
1780854229.842227,ACK_RCVD,29,0,0,1
1780854229.842797,SEND,30,1062,0,1
1780854229.8542678,ACK_RCVD,30,0,0,1
1780854229.854888,SEND,31,1062,0,1
1780854229.8672168,ACK_RCVD,31,0,0,1
1780854229.8677561,SEND,32,1062,0,1
1780854229.880067,ACK_RCVD,32,0,0,1
1780854229.880621,SEND,33,1062,0,1
1780854229.8920279,ACK_RCVD,33,0,0,1
1780854229.892569,SEND,34,1062,0,1
1780854229.904641,ACK_RCVD,34,0,0,1
1780854229.905217,SEND,35,1062,0,1
1780854229.917323,ACK_RCVD,35,0,0,1
1780854229.917838,SEND,36,1062,0,1
1780854229.929307,ACK_RCVD,36,0,0,1
1780854229.929843,SEND,37,1062,0,1
1780854229.94126,ACK_RCVD,37,0,0,1
1780854229.941833,SEND,38,1062,0,1
1780854229.954091,ACK_RCVD,38,0,0,1
1780854229.954835,SEND,39,1062,0,1
1780854229.9660769,ACK_RCVD,39,0,0,1
1780854229.966677,SEND,40,1062,0,1
1780854229.978246,ACK_RCVD,40,0,0,1
1780854229.978793,SEND,41,1062,0,1
1780854229.9898088,ACK_RCVD,41,0,0,1
1780854229.9903538,SEND,42,1062,0,1
1780854230.002193,ACK_RCVD,42,0,0,1
1780854230.0028758,SEND,43,1062,0,1
1780854230.0160902,ACK_RCVD,43,0,0,1
1780854230.016819,SEND,44,1062,0,1
1780854230.028203,ACK_RCVD,44,0,0,1
1780854230.0287402,SEND,45,1062,0,1
1780854230.040143,ACK_RCVD,45,0,0,1
1780854230.040719,SEND,46,1062,0,1
1780854230.0525491,ACK_RCVD,46,0,0,1
1780854230.053087,SEND,47,1062,0,1
1780854230.0660732,ACK_RCVD,47,0,0,1
1780854230.0667,SEND,48,1062,0,1
1780854230.0781262,ACK_RCVD,48,0,0,1
1780854230.07879,SEND,49,1062,0,1
1780854230.0913641,ACK_RCVD,49,0,0,1
1780854230.091927,SEND,50,1062,0,1
1780854230.104383,ACK_RCVD,50,0,0,1
