Timestamp,Event_Type,Seq_No,Packet_Size_Byte,Retransmit_Count,Is_Success
1779297833.608202,SEND,1,49,0,1
1779297833.622085,ACK_RCVD,1,0,0,1
1779297833.622727,SEND,2,1061,0,1
1779297833.633955,ACK_RCVD,2,0,0,1
1779297833.634613,SEND,3,1061,0,1
1779297833.646133,ACK_RCVD,3,0,0,1
1779297833.646654,SEND,4,1061,0,1
1779297833.6579142,ACK_RCVD,4,0,0,1
1779297833.658727,SEND,5,1061,0,1
1779297833.670122,ACK_RCVD,5,0,0,1
1779297833.670677,SEND,6,1061,0,1
1779297833.682144,ACK_RCVD,6,0,0,1
1779297833.682739,SEND,7,1061,0,1
1779297833.696346,ACK_RCVD,7,0,0,1
1779297833.69696,SEND,8,1061,0,1
1779297833.710027,ACK_RCVD,8,0,0,1
1779297833.710688,SEND,9,1061,0,1
1779297833.721579,ACK_RCVD,9,0,0,1
1779297833.721977,SEND,10,1062,0,1
1779297834.223358,TIMEOUT,10,0,1,1
1779297834.2239518,RETRANSMIT,10,1062,1,1
1779297834.23538,ACK_RCVD,10,0,1,1
1779297834.236146,SEND,11,1062,0,1
1779297834.2486668,ACK_RCVD,11,0,0,1
1779297834.249025,SEND,12,1062,0,1
1779297834.262228,ACK_RCVD,12,0,0,1
1779297834.262702,SEND,13,1062,0,1
1779297834.273879,ACK_RCVD,13,0,0,1
1779297834.274495,SEND,14,1062,0,1
1779297834.776043,TIMEOUT,14,0,1,1
1779297834.776605,RETRANSMIT,14,1062,1,1
1779297834.7893481,ACK_RCVD,14,0,1,1
1779297834.789969,SEND,15,1062,0,1
1779297834.8013282,ACK_RCVD,15,0,0,1
1779297834.801931,SEND,16,1062,0,1
1779297834.813854,ACK_RCVD,16,0,0,1
1779297834.814492,SEND,17,1062,0,1
1779297834.8270369,ACK_RCVD,17,0,0,1
1779297834.827722,SEND,18,1062,0,1
1779297834.839197,ACK_RCVD,18,0,0,1
1779297834.84001,SEND,19,1062,0,1
1779297834.8511438,ACK_RCVD,19,0,0,1
1779297834.851647,SEND,20,1062,0,1
1779297834.863174,ACK_RCVD,20,0,0,1
1779297834.863863,SEND,21,1062,0,1
1779297834.875223,ACK_RCVD,21,0,0,1
1779297834.87566,SEND,22,1062,0,1
1779297834.887478,ACK_RCVD,22,0,0,1
1779297834.8882759,SEND,23,1062,0,1
1779297834.949607,ACK_RCVD,23,0,0,1
1779297834.950101,SEND,24,1062,0,1
1779297834.9620411,ACK_RCVD,24,0,0,1
1779297834.962349,SEND,25,1062,0,1
1779297834.974968,ACK_RCVD,25,0,0,1
1779297834.9752982,SEND,26,1062,0,1
1779297834.9873579,ACK_RCVD,26,0,0,1
1779297834.988041,SEND,27,1062,0,1
1779297835.00129,ACK_RCVD,27,0,0,1
1779297835.002081,SEND,28,1062,0,1
1779297835.014844,ACK_RCVD,28,0,0,1
1779297835.0154848,SEND,29,1062,0,1
1779297835.028311,ACK_RCVD,29,0,0,1
1779297835.029069,SEND,30,1062,0,1
1779297835.042052,ACK_RCVD,30,0,0,1
1779297835.0428622,SEND,31,1062,0,1
1779297835.053917,ACK_RCVD,31,0,0,1
1779297835.05455,SEND,32,1062,0,1
1779297835.0679932,ACK_RCVD,32,0,0,1
1779297835.0689359,SEND,33,1062,0,1
1779297835.080477,ACK_RCVD,33,0,0,1
1779297835.081166,SEND,34,1062,0,1
1779297835.09359,ACK_RCVD,34,0,0,1
1779297835.0941708,SEND,35,1062,0,1
1779297835.1053262,ACK_RCVD,35,0,0,1
1779297835.105851,SEND,36,1062,0,1
1779297835.11853,ACK_RCVD,36,0,0,1
1779297835.119361,SEND,37,1062,0,1
1779297835.1326048,ACK_RCVD,37,0,0,1
1779297835.133121,SEND,38,1062,0,1
1779297835.144088,ACK_RCVD,38,0,0,1
1779297835.14468,SEND,39,1062,0,1
1779297835.156693,ACK_RCVD,39,0,0,1
1779297835.157279,SEND,40,1062,0,1
1779297835.1692212,ACK_RCVD,40,0,0,1
1779297835.1697412,SEND,41,1062,0,1
1779297835.1818829,ACK_RCVD,41,0,0,1
1779297835.1824691,SEND,42,1062,0,1
1779297835.193336,ACK_RCVD,42,0,0,1
